,v2,predicted
842,Our Prashanthettan's mother passed away last night. pray for her and family.,ham
1321,"I wake up long ago already... Dunno, what other thing?",ham
4666,I send the print  outs da.,ham
4629,Everybody had fun this evening. Miss you.,ham
2481,K.:)do it at evening da:)urgent:),ham
1962,it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
2963,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?",ham
2348,That seems unnecessarily affectionate,ham
322,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x,ham
4008,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel ,ham
4905,Will you come online today night,ham
5063,I dunno lei... Like dun haf...,ham
334,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,spam
2873,Crucify is c not s. You should have told me earlier.,ham
3537,We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,ham
833,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago",ham
3080,Have a great trip to India. And bring the light to everyone not just with the project but with everyone that is lucky to see you smile. Bye. Abiola,ham
4810,E admin building there? I might b slightly earlier... I'll call u when i'm reaching...,ham
3529,"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",ham
2465,S.i think he is waste for rr..,ham
3880,Can you plz tell me the ans. BSLVYL sent via fullonsms.com,ham
731,No he didn't. Spring is coming early yay!,ham
291,Haf u found him? I feel so stupid da v cam was working.,ham
184,Going on nothing great.bye,ham
2377,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,spam
2641,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",spam
1407,Then we gotta do it after that,ham
533,I'll be late...,ham
3904,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam
3858,"Win the newest åÒHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!",spam
1595,Pls confirm the time to collect the cheque.,ham
4903,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?",ham
657,You will be in the place of that man,ham
4674,"Hi babe its Chloe, how r u? I was smashed on saturday night, it was great! How was your weekend? U been missing me? SP visionsms.com Text stop to stop 150p/text",ham
3002,I will see in half an hour,ham
5371,"Lol, oh you got a friend for the dog ?",ham
2259,Ill call you evening ill some ideas.,ham
898,"Thursday night? Yeah, sure thing, we'll work it out then",ham
428,7 at esplanade.. Do Ì_ mind giving me a lift cos i got no car today..,ham
3641,My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,ham
2191,Thankyou so much for the call. I appreciate your care.,ham
1483,Purity of friendship between two is not about smiling after reading the forwarded message..Its about smiling just by seeing the name. Gud evng musthu,ham
1699,Ok...,ham
2135,"Carlos took a while (again), we leave in a minute",ham
1789,Takin a shower now but yeah I'll leave when I'm done,ham
1163,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!",ham
1193,Sex up ur mobile with a FREE sexy pic of Jordan! Just text BABE to 88600. Then every wk get a sexy celeb! PocketBabe.co.uk 4 more pics. 16 å£3/wk 087016248,spam
2941,"Hello. No news on job, they are making me wait a fifth week! Yeah im up for some woozles and weasels... In exeter still, but be home about 3. ",ham
1553,Ok how you dear. Did you call chechi,ham
2138,K still are you loving me.,ham
4264, &lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla,ham
2439,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,ham
5556,Yes i have. So that's why u texted. Pshew...missing you so much,ham
4205,"Get the door, I'm here",ham
4293,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,spam
